Table name,State,District,Area Name,Last residence,Last residence,Place of enumeration,Total migrants,Total migrants (M),Total migrants (F),Less than 1 year,Less than 1 year(M),Less than 1 year(F),1-4 years,1-4 years(M),1-4 years(F),5-9 years,5-9 years(M),5-9 years(F),10-19 years,10-19 years(M),10-19 years(F),20+ years,20+ years(M),20+ years(F),Duration not stated,Duration not stated(M),Duration not stated(F)
,,,,,Total/Rural/Urban/Country,Total/Rural/Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
D0302,7,90,North West,Himachal Pradesh,Total,Total,"12,844","6,589","6,255",297,139,158,"1,384",634,750,"1,606",766,840,"3,292","1,645","1,647","5,778","3,155","2,623",487,250,237
D0302,7,90,North West,Himachal Pradesh,Total,Rural,324,171,153,11,6,5,57,30,27,77,39,38,137,75,62,32,16,16,10,5,5
D0302,7,90,North West,Himachal Pradesh,Total,Urban,"12,520","6,418","6,102",286,133,153,"1,327",604,723,"1,529",727,802,"3,155","1,570","1,585","5,746","3,139","2,607",477,245,232
D0302,7,90,North West,Himachal Pradesh,Rural,Total,"7,726","4,131","3,595",188,89,99,851,410,441,"1,021",506,515,"2,198","1,136","1,062","3,266","1,891","1,375",202,99,103
D0302,7,90,North West,Himachal Pradesh,Rural,Rural,272,144,128,6,2,4,37,20,17,70,34,36,123,69,54,31,16,15,5,3,2
D0302,7,90,North West,Himachal Pradesh,Rural,Urban,"7,454","3,987","3,467",182,87,95,814,390,424,951,472,479,"2,075","1,067","1,008","3,235","1,875","1,360",197,96,101
D0302,7,90,North West,Himachal Pradesh,Urban,Total,"4,901","2,341","2,560",108,50,58,517,219,298,569,251,318,"1,073",497,576,"2,464","1,239","1,225",170,85,85
D0302,7,90,North West,Himachal Pradesh,Urban,Rural,45,24,21,5,4,1,18,9,9,7,5,2,13,6,7,1,0,1,1,0,1
D0302,7,90,North West,Himachal Pradesh,Urban,Urban,"4,856","2,317","2,539",103,46,57,499,210,289,562,246,316,"1,060",491,569,"2,463","1,239","1,224",169,85,84
D0302,7,90,North West,Punjab,Total,Total,"56,070","26,962","29,108","1,067",468,599,"4,441","1,747","2,694","5,271","2,132","3,139","10,853","4,768","6,085","32,191","16,759","15,432","2,247","1,088","1,159"
D0302,7,90,North West,Punjab,Total,Rural,678,339,339,13,6,7,114,51,63,131,63,68,142,65,77,249,137,112,29,17,12
D0302,7,90,North West,Punjab,Total,Urban,"55,392","26,623","28,769","1,054",462,592,"4,327","1,696","2,631","5,140","2,069","3,071","10,711","4,703","6,008","31,942","16,622","15,320","2,218","1,071","1,147"
D0302,7,90,North West,Punjab,Rural,Total,"16,272","8,339","7,933",272,133,139,"1,288",522,766,"1,673",760,913,"3,386","1,650","1,736","9,170","5,029","4,141",483,245,238
D0302,7,90,North West,Punjab,Rural,Rural,409,219,190,8,3,5,49,22,27,73,36,37,91,48,43,176,102,74,12,8,4
D0302,7,90,North West,Punjab,Rural,Urban,"15,863","8,120","7,743",264,130,134,"1,239",500,739,"1,600",724,876,"3,295","1,602","1,693","8,994","4,927","4,067",471,237,234
D0302,7,90,North West,Punjab,Urban,Total,"38,819","18,159","20,660",780,329,451,"3,096","1,203","1,893","3,550","1,353","2,197","7,394","3,089","4,305","22,799","11,638","11,161","1,200",547,653
D0302,7,90,North West,Punjab,Urban,Rural,257,115,142,5,3,2,65,29,36,58,27,31,51,17,34,71,34,37,7,5,2
D0302,7,90,North West,Punjab,Urban,Urban,"38,562","18,044","20,518",775,326,449,"3,031","1,174","1,857","3,492","1,326","2,166","7,343","3,072","4,271","22,728","11,604","11,124","1,193",542,651
D0302,7,90,North West,Chandigarh,Total,Total,"1,956",807,"1,149",86,37,49,322,115,207,352,136,216,462,181,281,635,312,323,99,26,73
D0302,7,90,North West,Chandigarh,Total,Rural,26,7,19,0,0,0,6,2,4,3,0,3,8,3,5,6,0,6,3,2,1
D0302,7,90,North West,Chandigarh,Total,Urban,"1,930",800,"1,130",86,37,49,316,113,203,349,136,213,454,178,276,629,312,317,96,24,72
D0302,7,90,North West,Chandigarh,Rural,Total,172,69,103,5,2,3,31,10,21,30,8,22,47,20,27,53,27,26,6,2,4
D0302,7,90,North West,Chandigarh,Rural,Rural,6,1,5,0,0,0,0,0,0,2,0,2,2,1,1,2,0,2,0,0,0
D0302,7,90,North West,Chandigarh,Rural,Urban,166,68,98,5,2,3,31,10,21,28,8,20,45,19,26,51,27,24,6,2,4
D0302,7,90,North West,Chandigarh,Urban,Total,"1,740",724,"1,016",78,34,44,288,104,184,319,127,192,408,157,251,572,282,290,75,20,55
D0302,7,90,North West,Chandigarh,Urban,Rural,18,5,13,0,0,0,6,2,4,1,0,1,6,2,4,4,0,4,1,1,0
D0302,7,90,North West,Chandigarh,Urban,Urban,"1,722",719,"1,003",78,34,44,282,102,180,318,127,191,402,155,247,568,282,286,74,19,55
D0302,7,90,North West,Uttarakhand,Total,Total,"34,426","17,704","16,722",843,395,448,"3,964","1,810","2,154","5,171","2,560","2,611","9,469","4,829","4,640","13,583","7,424","6,159","1,396",686,710
D0302,7,90,North West,Uttarakhand,Total,Rural,"1,038",523,515,32,18,14,176,81,95,170,84,86,335,162,173,269,147,122,56,31,25
D0302,7,90,North West,Uttarakhand,Total,Urban,"33,388","17,181","16,207",811,377,434,"3,788","1,729","2,059","5,001","2,476","2,525","9,134","4,667","4,467","13,314","7,277","6,037","1,340",655,685
D0302,7,90,North West,Uttarakhand,Rural,Total,"23,332","12,501","10,831",545,266,279,"2,580","1,212","1,368","3,581","1,830","1,751","6,839","3,604","3,235","9,214","5,306","3,908",573,283,290
D0302,7,90,North West,Uttarakhand,Rural,Rural,869,445,424,27,16,11,139,64,75,144,74,70,295,145,150,244,135,109,20,11,9
D0302,7,90,North West,Uttarakhand,Rural,Urban,"22,463","12,056","10,407",518,250,268,"2,441","1,148","1,293","3,437","1,756","1,681","6,544","3,459","3,085","8,970","5,171","3,799",553,272,281
D0302,7,90,North West,Uttarakhand,Urban,Total,"10,514","4,909","5,605",282,122,160,"1,352",584,768,"1,569",723,846,"2,597","1,210","1,387","4,299","2,086","2,213",415,184,231
D0302,7,90,North West,Uttarakhand,Urban,Rural,138,61,77,5,2,3,36,17,19,26,10,16,39,16,23,24,12,12,8,4,4
D0302,7,90,North West,Uttarakhand,Urban,Urban,"10,376","4,848","5,528",277,120,157,"1,316",567,749,"1,543",713,830,"2,558","1,194","1,364","4,275","2,074","2,201",407,180,227
D0302,7,90,North West,Haryana,Total,Total,"2,25,572","92,738","1,32,834","5,301","2,189","3,112","25,315","9,393","15,922","30,800","12,144","18,656","55,911","22,796","33,115","99,355","42,289","57,066","8,890","3,927","4,963"
D0302,7,90,North West,Haryana,Total,Rural,"18,752","2,615","16,137",498,151,347,"2,440",535,"1,905","2,701",524,"2,177","4,399",668,"3,731","8,063",562,"7,501",651,175,476
D0302,7,90,North West,Haryana,Total,Urban,"2,06,820","90,123","1,16,697","4,803","2,038","2,765","22,875","8,858","14,017","28,099","11,620","16,479","51,512","22,128","29,384","91,292","41,727","49,565","8,239","3,752","4,487"
D0302,7,90,North West,Haryana,Rural,Total,"1,37,165","54,369","82,796","2,860","1,188","1,672","14,129","5,097","9,032","17,876","6,797","11,079","34,499","13,877","20,622","63,653","25,646","38,007","4,148","1,764","2,384"
D0302,7,90,North West,Haryana,Rural,Rural,"16,258","2,096","14,162",406,124,282,"1,952",405,"1,547","2,245",395,"1,850","3,803",544,"3,259","7,356",511,"6,845",496,117,379
D0302,7,90,North West,Haryana,Rural,Urban,"1,20,907","52,273","68,634","2,454","1,064","1,390","12,177","4,692","7,485","15,631","6,402","9,229","30,696","13,333","17,363","56,297","25,135","31,162","3,652","1,647","2,005"
D0302,7,90,North West,Haryana,Urban,Total,"85,395","37,091","48,304","2,395",977,"1,418","10,992","4,232","6,760","12,722","5,266","7,456","21,122","8,830","12,292","35,118","16,426","18,692","3,046","1,360","1,686"
D0302,7,90,North West,Haryana,Urban,Rural,"2,327",474,"1,853",91,27,64,475,127,348,442,126,316,566,118,448,666,51,615,87,25,62
D0302,7,90,North West,Haryana,Urban,Urban,"83,068","36,617","46,451","2,304",950,"1,354","10,517","4,105","6,412","12,280","5,140","7,140","20,556","8,712","11,844","34,452","16,375","18,077","2,959","1,335","1,624"
D0302,7,90,North West,NCT of Delhi,Total,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,NCT of Delhi,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,NCT of Delhi,Total,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,NCT of Delhi,Rural,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,NCT of Delhi,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,NCT of Delhi,Rural,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,NCT of Delhi,Urban,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,NCT of Delhi,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,NCT of Delhi,Urban,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Rajasthan,Total,Total,"66,572","33,709","32,863","1,875",937,938,"7,573","3,412","4,161","8,454","4,071","4,383","16,410","8,157","8,253","29,162","15,622","13,540","3,098","1,510","1,588"
D0302,7,90,North West,Rajasthan,Total,Rural,"2,154","1,036","1,118",95,52,43,414,198,216,361,169,192,474,223,251,515,239,276,295,155,140
D0302,7,90,North West,Rajasthan,Total,Urban,"64,418","32,673","31,745","1,780",885,895,"7,159","3,214","3,945","8,093","3,902","4,191","15,936","7,934","8,002","28,647","15,383","13,264","2,803","1,355","1,448"
D0302,7,90,North West,Rajasthan,Rural,Total,"42,564","22,526","20,038","1,141",595,546,"4,459","2,092","2,367","5,361","2,704","2,657","10,879","5,645","5,234","19,429","10,849","8,580","1,295",641,654
D0302,7,90,North West,Rajasthan,Rural,Rural,"1,451",695,756,64,36,28,259,121,138,277,128,149,385,186,199,440,211,229,26,13,13
D0302,7,90,North West,Rajasthan,Rural,Urban,"41,113","21,831","19,282","1,077",559,518,"4,200","1,971","2,229","5,084","2,576","2,508","10,494","5,459","5,035","18,989","10,638","8,351","1,269",628,641
D0302,7,90,North West,Rajasthan,Urban,Total,"22,713","10,548","12,165",721,335,386,"3,046","1,294","1,752","3,045","1,346","1,699","5,431","2,473","2,958","9,542","4,684","4,858",928,416,512
D0302,7,90,North West,Rajasthan,Urban,Rural,467,213,254,30,15,15,153,77,76,78,37,41,81,33,48,72,27,45,53,24,29
D0302,7,90,North West,Rajasthan,Urban,Urban,"22,246","10,335","11,911",691,320,371,"2,893","1,217","1,676","2,967","1,309","1,658","5,350","2,440","2,910","9,470","4,657","4,813",875,392,483
D0302,7,90,North West,Uttar Pradesh,Total,Total,"5,66,267","3,03,768","2,62,499","19,641","10,450","9,191","79,343","39,635","39,708","91,316","47,129","44,187","1,65,644","88,608","77,036","1,87,801","1,06,196","81,605","22,522","11,750","10,772"
D0302,7,90,North West,Uttar Pradesh,Total,Rural,"23,118","11,294","11,824","1,280",708,572,"4,702","2,382","2,320","4,232","2,048","2,184","6,169","3,029","3,140","4,740","2,046","2,694","1,995","1,081",914
D0302,7,90,North West,Uttar Pradesh,Total,Urban,"5,43,149","2,92,474","2,50,675","18,361","9,742","8,619","74,641","37,253","37,388","87,084","45,081","42,003","1,59,475","85,579","73,896","1,83,061","1,04,150","78,911","20,527","10,669","9,858"
D0302,7,90,North West,Uttar Pradesh,Rural,Total,"4,29,172","2,38,089","1,91,083","15,040","8,230","6,810","60,249","30,971","29,278","70,873","37,672","33,201","1,31,844","72,699","59,145","1,39,510","82,289","57,221","11,656","6,228","5,428"
D0302,7,90,North West,Uttar Pradesh,Rural,Rural,"17,486","8,593","8,893","1,087",614,473,"3,300","1,681","1,619","3,403","1,682","1,721","5,182","2,599","2,583","4,045","1,774","2,271",469,243,226
D0302,7,90,North West,Uttar Pradesh,Rural,Urban,"4,11,686","2,29,496","1,82,190","13,953","7,616","6,337","56,949","29,290","27,659","67,470","35,990","31,480","1,26,662","70,100","56,562","1,35,465","80,515","54,950","11,187","5,985","5,202"
D0302,7,90,North West,Uttar Pradesh,Urban,Total,"1,28,675","61,405","67,270","4,449","2,147","2,302","18,639","8,453","10,186","19,966","9,231","10,735","33,149","15,615","17,534","47,493","23,572","23,921","4,979","2,387","2,592"
D0302,7,90,North West,Uttar Pradesh,Urban,Rural,"4,223","1,937","2,286",180,89,91,"1,365",681,684,795,349,446,949,414,535,684,268,416,250,136,114
D0302,7,90,North West,Uttar Pradesh,Urban,Urban,"1,24,452","59,468","64,984","4,269","2,058","2,211","17,274","7,772","9,502","19,171","8,882","10,289","32,200","15,201","16,999","46,809","23,304","23,505","4,729","2,251","2,478"
D0302,7,90,North West,Bihar,Total,Total,"2,64,298","1,55,193","1,09,105","11,771","6,839","4,932","50,016","28,365","21,651","57,148","32,604","24,544","87,830","51,504","36,326","48,091","30,444","17,647","9,442","5,437","4,005"
D0302,7,90,North West,Bihar,Total,Rural,"13,228","7,734","5,494","1,058",662,396,"3,203","1,895","1,308","2,947","1,701","1,246","3,530","2,005","1,525","1,507",919,588,983,552,431
D0302,7,90,North West,Bihar,Total,Urban,"2,51,070","1,47,459","1,03,611","10,713","6,177","4,536","46,813","26,470","20,343","54,201","30,903","23,298","84,300","49,499","34,801","46,584","29,525","17,059","8,459","4,885","3,574"
D0302,7,90,North West,Bihar,Rural,Total,"2,27,791","1,34,709","93,082","10,150","5,920","4,230","42,734","24,343","18,391","49,086","28,180","20,906","77,275","45,561","31,714","42,364","27,096","15,268","6,182","3,609","2,573"
D0302,7,90,North West,Bihar,Rural,Rural,"11,033","6,564","4,469",975,617,358,"2,695","1,621","1,074","2,563","1,509","1,054","3,118","1,771","1,347","1,374",852,522,308,194,114
D0302,7,90,North West,Bihar,Rural,Urban,"2,16,758","1,28,145","88,613","9,175","5,303","3,872","40,039","22,722","17,317","46,523","26,671","19,852","74,157","43,790","30,367","40,990","26,244","14,746","5,874","3,415","2,459"
D0302,7,90,North West,Bihar,Urban,Total,"33,702","18,892","14,810","1,544",873,671,"7,037","3,877","3,160","7,833","4,289","3,544","10,320","5,815","4,505","5,584","3,273","2,311","1,384",765,619
D0302,7,90,North West,Bihar,Urban,Rural,"1,595",855,740,74,38,36,498,269,229,372,185,187,407,230,177,125,64,61,119,69,50
D0302,7,90,North West,Bihar,Urban,Urban,"32,107","18,037","14,070","1,470",835,635,"6,539","3,608","2,931","7,461","4,104","3,357","9,913","5,585","4,328","5,459","3,209","2,250","1,265",696,569
D0302,7,90,North West,Sikkim,Total,Total,86,33,53,12,5,7,18,6,12,12,4,8,16,5,11,26,12,14,2,1,1
D0302,7,90,North West,Sikkim,Total,Rural,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Sikkim,Total,Urban,85,33,52,12,5,7,18,6,12,11,4,7,16,5,11,26,12,14,2,1,1
D0302,7,90,North West,Sikkim,Rural,Total,18,8,10,1,1,0,6,2,4,2,0,2,5,2,3,3,2,1,1,1,0
D0302,7,90,North West,Sikkim,Rural,Rural,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Sikkim,Rural,Urban,17,8,9,1,1,0,6,2,4,1,0,1,5,2,3,3,2,1,1,1,0
D0302,7,90,North West,Sikkim,Urban,Total,68,25,43,11,4,7,12,4,8,10,4,6,11,3,8,23,10,13,1,0,1
D0302,7,90,North West,Sikkim,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Sikkim,Urban,Urban,68,25,43,11,4,7,12,4,8,10,4,6,11,3,8,23,10,13,1,0,1
D0302,7,90,North West,Arunachal Pradesh,Total,Total,152,79,73,15,6,9,59,31,28,37,19,18,17,13,4,19,8,11,5,2,3
D0302,7,90,North West,Arunachal Pradesh,Total,Rural,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
D0302,7,90,North West,Arunachal Pradesh,Total,Urban,149,78,71,13,5,8,59,31,28,37,19,18,17,13,4,18,8,10,5,2,3
D0302,7,90,North West,Arunachal Pradesh,Rural,Total,56,29,27,7,2,5,28,16,12,15,9,6,3,2,1,3,0,3,0,0,0
D0302,7,90,North West,Arunachal Pradesh,Rural,Rural,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
D0302,7,90,North West,Arunachal Pradesh,Rural,Urban,55,29,26,7,2,5,28,16,12,15,9,6,3,2,1,2,0,2,0,0,0
D0302,7,90,North West,Arunachal Pradesh,Urban,Total,94,49,45,8,4,4,31,15,16,22,10,12,14,11,3,16,8,8,3,1,2
D0302,7,90,North West,Arunachal Pradesh,Urban,Rural,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Arunachal Pradesh,Urban,Urban,92,48,44,6,3,3,31,15,16,22,10,12,14,11,3,16,8,8,3,1,2
D0302,7,90,North West,Nagaland,Total,Total,206,125,81,7,2,5,72,48,24,32,18,14,57,35,22,32,18,14,6,4,2
D0302,7,90,North West,Nagaland,Total,Rural,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
D0302,7,90,North West,Nagaland,Total,Urban,204,123,81,7,2,5,71,47,24,32,18,14,57,35,22,31,17,14,6,4,2
D0302,7,90,North West,Nagaland,Rural,Total,51,37,14,2,1,1,25,23,2,8,5,3,9,5,4,7,3,4,0,0,0
D0302,7,90,North West,Nagaland,Rural,Rural,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
D0302,7,90,North West,Nagaland,Rural,Urban,49,35,14,2,1,1,24,22,2,8,5,3,9,5,4,6,2,4,0,0,0
D0302,7,90,North West,Nagaland,Urban,Total,153,87,66,5,1,4,47,25,22,24,13,11,47,30,17,25,15,10,5,3,2
D0302,7,90,North West,Nagaland,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Nagaland,Urban,Urban,153,87,66,5,1,4,47,25,22,24,13,11,47,30,17,25,15,10,5,3,2
D0302,7,90,North West,Manipur,Total,Total,513,253,260,23,13,10,198,92,106,95,46,49,116,59,57,71,38,33,10,5,5
D0302,7,90,North West,Manipur,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Manipur,Total,Urban,513,253,260,23,13,10,198,92,106,95,46,49,116,59,57,71,38,33,10,5,5
D0302,7,90,North West,Manipur,Rural,Total,174,90,84,15,8,7,92,50,42,32,17,15,23,11,12,9,3,6,3,1,2
D0302,7,90,North West,Manipur,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Manipur,Rural,Urban,174,90,84,15,8,7,92,50,42,32,17,15,23,11,12,9,3,6,3,1,2
D0302,7,90,North West,Manipur,Urban,Total,333,160,173,8,5,3,105,42,63,63,29,34,93,48,45,61,34,27,3,2,1
D0302,7,90,North West,Manipur,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Manipur,Urban,Urban,333,160,173,8,5,3,105,42,63,63,29,34,93,48,45,61,34,27,3,2,1
D0302,7,90,North West,Mizoram,Total,Total,43,19,24,2,0,2,15,7,8,7,3,4,14,7,7,5,2,3,0,0,0
D0302,7,90,North West,Mizoram,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Mizoram,Total,Urban,43,19,24,2,0,2,15,7,8,7,3,4,14,7,7,5,2,3,0,0,0
D0302,7,90,North West,Mizoram,Rural,Total,10,5,5,1,0,1,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Mizoram,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Mizoram,Rural,Urban,10,5,5,1,0,1,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Mizoram,Urban,Total,33,14,19,1,0,1,9,3,6,4,2,2,14,7,7,5,2,3,0,0,0
D0302,7,90,North West,Mizoram,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Mizoram,Urban,Urban,33,14,19,1,0,1,9,3,6,4,2,2,14,7,7,5,2,3,0,0,0
D0302,7,90,North West,Tripura,Total,Total,134,74,60,0,0,0,34,17,17,42,24,18,30,17,13,26,16,10,2,0,2
D0302,7,90,North West,Tripura,Total,Rural,4,2,2,0,0,0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0
D0302,7,90,North West,Tripura,Total,Urban,130,72,58,0,0,0,32,16,16,41,23,18,30,17,13,25,16,9,2,0,2
D0302,7,90,North West,Tripura,Rural,Total,60,39,21,0,0,0,16,12,4,24,15,9,10,6,4,8,6,2,2,0,2
D0302,7,90,North West,Tripura,Rural,Rural,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
D0302,7,90,North West,Tripura,Rural,Urban,58,38,20,0,0,0,16,12,4,23,14,9,10,6,4,7,6,1,2,0,2
D0302,7,90,North West,Tripura,Urban,Total,74,35,39,0,0,0,18,5,13,18,9,9,20,11,9,18,10,8,0,0,0
D0302,7,90,North West,Tripura,Urban,Rural,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Tripura,Urban,Urban,72,34,38,0,0,0,16,4,12,18,9,9,20,11,9,18,10,8,0,0,0
D0302,7,90,North West,Meghalaya,Total,Total,221,123,98,10,7,3,43,23,20,48,25,23,65,40,25,49,24,25,6,4,2
D0302,7,90,North West,Meghalaya,Total,Rural,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Meghalaya,Total,Urban,220,123,97,10,7,3,42,23,19,48,25,23,65,40,25,49,24,25,6,4,2
D0302,7,90,North West,Meghalaya,Rural,Total,37,21,16,2,1,1,14,5,9,5,3,2,8,6,2,6,5,1,2,1,1
D0302,7,90,North West,Meghalaya,Rural,Rural,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Meghalaya,Rural,Urban,36,21,15,2,1,1,13,5,8,5,3,2,8,6,2,6,5,1,2,1,1
D0302,7,90,North West,Meghalaya,Urban,Total,184,102,82,8,6,2,29,18,11,43,22,21,57,34,23,43,19,24,4,3,1
D0302,7,90,North West,Meghalaya,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,90,North West,Meghalaya,Urban,Urban,184,102,82,8,6,2,29,18,11,43,22,21,57,34,23,43,19,24,4,3,1
D0302,7,90,North West,Assam,Total,Total,"3,622","1,771","1,851",201,100,101,827,405,422,667,308,359,960,463,497,820,426,394,147,69,78
D0302,7,90,North West,Assam,Total,Rural,189,91,98,10,6,4,77,40,37,43,17,26,35,18,17,13,5,8,11,5,6
D0302,7,90,North West,Assam,Total,Urban,"3,433","1,680","1,753",191,94,97,750,365,385,624,291,333,925,445,480,807,421,386,136,64,72
D0302,7,90,North West,Assam,Rural,Total,"1,484",730,754,90,48,42,394,201,193,340,145,195,351,177,174,267,139,128,42,20,22
D0302,7,90,North West,Assam,Rural,Rural,160,81,79,7,4,3,74,40,34,36,14,22,31,17,14,11,5,6,1,1,0
D0302,7,90,North West,Assam,Rural,Urban,"1,324",649,675,83,44,39,320,161,159,304,131,173,320,160,160,256,134,122,41,19,22
D0302,7,90,North West,Assam,Urban,Total,"2,084","1,013","1,071",105,49,56,426,199,227,324,161,163,605,285,320,551,287,264,73,32,41
D0302,7,90,North West,Assam,Urban,Rural,19,6,13,2,1,1,3,0,3,7,3,4,4,1,3,2,0,2,1,1,0
D0302,7,90,North West,Assam,Urban,Urban,"2,065","1,007","1,058",103,48,55,423,199,224,317,158,159,601,284,317,549,287,262,72,31,41
D0302,7,90,North West,West Bengal,Total,Total,"29,997","14,839","15,158","1,461",757,704,"5,471","2,616","2,855","5,852","2,864","2,988","8,515","4,224","4,291","7,608","3,857","3,751","1,090",521,569
D0302,7,90,North West,West Bengal,Total,Rural,"1,680",826,854,57,34,23,347,185,162,314,139,175,458,225,233,367,180,187,137,63,74
D0302,7,90,North West,West Bengal,Total,Urban,"28,317","14,013","14,304","1,404",723,681,"5,124","2,431","2,693","5,538","2,725","2,813","8,057","3,999","4,058","7,241","3,677","3,564",953,458,495
D0302,7,90,North West,West Bengal,Rural,Total,"13,652","7,085","6,567",806,438,368,"2,855","1,419","1,436","2,930","1,497","1,433","3,901","2,040","1,861","2,875","1,541","1,334",285,150,135
D0302,7,90,North West,West Bengal,Rural,Rural,986,507,479,33,20,13,199,114,85,180,84,96,291,145,146,261,134,127,22,10,12
D0302,7,90,North West,West Bengal,Rural,Urban,"12,666","6,578","6,088",773,418,355,"2,656","1,305","1,351","2,750","1,413","1,337","3,610","1,895","1,715","2,614","1,407","1,207",263,140,123
D0302,7,90,North West,West Bengal,Urban,Total,"15,854","7,514","8,340",640,308,332,"2,556","1,159","1,397","2,883","1,354","1,529","4,574","2,169","2,405","4,688","2,294","2,394",513,230,283
D0302,7,90,North West,West Bengal,Urban,Rural,598,274,324,24,14,10,141,67,74,133,54,79,162,78,84,106,46,60,32,15,17
D0302,7,90,North West,West Bengal,Urban,Urban,"15,256","7,240","8,016",616,294,322,"2,415","1,092","1,323","2,750","1,300","1,450","4,412","2,091","2,321","4,582","2,248","2,334",481,215,266
D0302,7,90,North West,Jharkhand,Total,Total,"10,490","5,663","4,827",581,310,271,"2,468","1,216","1,252","2,446","1,305","1,141","2,998","1,732","1,266","1,615",911,704,382,189,193
D0302,7,90,North West,Jharkhand,Total,Rural,404,213,191,27,20,7,87,42,45,96,48,48,102,51,51,63,40,23,29,12,17
D0302,7,90,North West,Jharkhand,Total,Urban,"10,086","5,450","4,636",554,290,264,"2,381","1,174","1,207","2,350","1,257","1,093","2,896","1,681","1,215","1,552",871,681,353,177,176
D0302,7,90,North West,Jharkhand,Rural,Total,"6,004","3,374","2,630",344,193,151,"1,376",712,664,"1,468",799,669,"1,738","1,038",700,914,544,370,164,88,76
D0302,7,90,North West,Jharkhand,Rural,Rural,301,166,135,20,16,4,71,35,36,75,38,37,69,33,36,55,36,19,11,8,3
D0302,7,90,North West,Jharkhand,Rural,Urban,"5,703","3,208","2,495",324,177,147,"1,305",677,628,"1,393",761,632,"1,669","1,005",664,859,508,351,153,80,73
D0302,7,90,North West,Jharkhand,Urban,Total,"4,330","2,213","2,117",230,114,116,"1,063",490,573,955,493,462,"1,235",683,552,686,358,328,161,75,86
D0302,7,90,North West,Jharkhand,Urban,Rural,94,45,49,7,4,3,16,7,9,21,10,11,33,18,15,8,4,4,9,2,7
D0302,7,90,North West,Jharkhand,Urban,Urban,"4,236","2,168","2,068",223,110,113,"1,047",483,564,934,483,451,"1,202",665,537,678,354,324,152,73,79
