Table name,State,District,Area Name,Last residence,Last residence,Place of enumeration,Total migrants,Total migrants (M),Total migrants (F),Less than 1 year,Less than 1 year(M),Less than 1 year(F),1-4 years,1-4 years(M),1-4 years(F),5-9 years,5-9 years(M),5-9 years(F),10-19 years,10-19 years(M),10-19 years(F),20+ years,20+ years(M),20+ years(F),Duration not stated,Duration not stated(M),Duration not stated(F)
,,,,,Total/Rural/Urban/Country,Total/Rural/Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
D0302,7,0,State - NCT OF DELHI,Chandigarh,Total,Total,"8,328","3,624","4,704",435,212,223,"1,811",753,"1,058","1,496",652,844,"1,732",716,"1,016","2,389","1,092","1,297",465,199,266
D0302,7,0,State - NCT OF DELHI,Chandigarh,Total,Rural,76,30,46,5,3,2,16,6,10,23,11,12,21,8,13,8,0,8,3,2,1
D0302,7,0,State - NCT OF DELHI,Chandigarh,Total,Urban,"8,252","3,594","4,658",430,209,221,"1,795",747,"1,048","1,473",641,832,"1,711",708,"1,003","2,381","1,092","1,289",462,197,265
D0302,7,0,State - NCT OF DELHI,Chandigarh,Rural,Total,519,212,307,20,13,7,82,25,57,88,30,58,121,51,70,184,84,100,24,9,15
D0302,7,0,State - NCT OF DELHI,Chandigarh,Rural,Rural,8,1,7,0,0,0,0,0,0,3,0,3,2,1,1,3,0,3,0,0,0
D0302,7,0,State - NCT OF DELHI,Chandigarh,Rural,Urban,511,211,300,20,13,7,82,25,57,85,30,55,119,50,69,181,84,97,24,9,15
D0302,7,0,State - NCT OF DELHI,Chandigarh,Urban,Total,"7,648","3,355","4,293",411,197,214,"1,711",726,985,"1,399",620,779,"1,594",659,935,"2,177",996,"1,181",356,157,199
D0302,7,0,State - NCT OF DELHI,Chandigarh,Urban,Rural,66,28,38,5,3,2,16,6,10,20,11,9,19,7,12,5,0,5,1,1,0
D0302,7,0,State - NCT OF DELHI,Chandigarh,Urban,Urban,"7,582","3,327","4,255",406,194,212,"1,695",720,975,"1,379",609,770,"1,575",652,923,"2,172",996,"1,176",355,156,199
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Total,Total,"2,94,704","1,54,496","1,40,208","8,890","4,318","4,572","41,110","19,963","21,147","47,456","23,953","23,503","78,273","40,453","37,820","1,06,728","59,328","47,400","12,247","6,481","5,766"
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Total,Rural,"6,861","3,615","3,246",203,90,113,"1,085",543,542,"1,467",753,714,"2,420","1,272","1,148","1,516",856,660,170,101,69
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Total,Urban,"2,87,843","1,50,881","1,36,962","8,687","4,228","4,459","40,025","19,420","20,605","45,989","23,200","22,789","75,853","39,181","36,672","1,05,212","58,472","46,740","12,077","6,380","5,697"
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Rural,Total,"2,11,621","1,14,379","97,242","5,673","2,766","2,907","27,492","13,642","13,850","33,977","17,555","16,422","59,449","31,539","27,910","79,234","45,804","33,430","5,796","3,073","2,723"
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Rural,Rural,"6,050","3,220","2,830",168,76,92,900,458,442,"1,287",662,625,"2,210","1,159","1,051","1,378",800,578,107,65,42
